country	code_farm_new	Latitude	Longitude
Guatemala	353	14.44938903	-90.44690003
Guatemala	354	14.44961994	-90.44686778
Guatemala	337	14.71069444	-91.29958333
Guatemala	10	15.08630556	-92.04144444
Guatemala	4	15.08955556	-92.04630556
Guatemala	300	15.075	-92.06097222
Guatemala	311	15.08916667	-92.04652778
Guatemala	301	14.91738889	-92.01244444
Guatemala	2	14.94038889	-91.99611111
Guatemala	303	14.94711111	-91.998
Guatemala	302	14.95830556	-91.95325
Guatemala	312	14.94133333	-91.99819444
Guatemala	1	14.90186111	-91.992
Guatemala	333	14.60563889	-91.14555556
Guatemala	216	14.63127778	-91.15352778
Guatemala	316	14.59575	-91.16022222
Guatemala	318	14.62925	-91.25891667
Guatemala	320	14.64463889	-91.24433333
Guatemala	322	14.6625	-91.17130556
Guatemala	325	14.6765	-91.27316667
Guatemala	327	14.69438889	-91.30055556
Guatemala	329	14.62575	-91.262
Guatemala	227	14.62561111	-91.262
Guatemala	331	14.68980556	-91.85980556
Guatemala	36	14.70736111	-91.8175
Guatemala	16	14.72875	-91.74538889
Guatemala	201	14.69425	-91.68447222
Guatemala	139	14.55461111	-90.94833333
Guatemala	143	14.55461111	-90.94833333
Guatemala	138	14.55325	-90.95036111
Guatemala	144	14.55508333	-90.97086111
Guatemala	147	14.55636111	-90.94566667
Guatemala	132	14.53702778	-90.98919444
Guatemala	146	14.55283333	-90.954
Guatemala	162	14.58122222	-90.94636111
Guatemala	332	14.5755	-90.73030556
Guatemala	149	14.49602778	-90.78816667
Guatemala	135	14.49644444	-90.78822222
Guatemala	133	14.4974	-90.711
Guatemala	170	14.429	-90.44
Guatemala	338	14.69941667	-91.32294444
Guatemala	339	14.68336111	-91.31380556
Guatemala	342	14.52711111	-90.94575
Guatemala	343	14.64322222	-90.88066667
Guatemala	344	14.54433333	-90.92041667
Guatemala	348	14.53380556	-90.74702778
Guatemala	349	14.56319444	-90.69894444
Guatemala	350	14.42988889	-90.46486111
Guatemala	351	14.43380556	-90.46238889
