""	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s31"	"s32"
"TCRT(1)"	3983.42017222396	3983.42017222396	3983.42017222396	3983.42017222396	4500	4500	4500	4500	4500	4500	3983.42017222396	3983.42017222396	3983.42017222396	3983.42017222396	3983.42017222396	3983.42017222396	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	3365.07194692503	3365.07194692503	3365.07194692503	3365.07194692503	3365.07194692503	3365.07194692503
"TCRT(2)"	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500
"TCRT(3)"	4500	4500	4500	4500	5245.06368132015	5245.06368132015	5245.06368132015	5245.06368132015	4027.05194361325	4027.05194361325	5245.06368132015	5245.06368132015	4027.05194361325	4027.05194361325	4027.05194361325	4027.05194361325	4500	4500	4500	4500	5084.11924197395	5084.11924197395	5066.06441104169	5066.06441104169	5066.06441104169	5066.06441104169	3550.66257257408	3550.66257257408	3550.66257257408	3550.66257257408	3329.46283090381	3329.46283090381
"TCST(1)"	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
"TCST(2)"	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
"TCST(3)"	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
"TOPTT(1)"	24.3783320410148	24.3783320410148	24.3783320410148	24.3783320410148	25	25	25	25	25	25	24.3783320410148	24.3783320410148	24.3783320410148	24.3783320410148	24.3783320410148	24.3783320410148	25	25	25	25	25	25	25	25	25	25	25.8936698392812	25.8936698392812	25.8936698392812	25.8936698392812	25.8936698392812	25.8936698392812
"TOPTT(2)"	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
"TOPTT(3)"	25	25	25	25	25.0325784899392	25.0325784899392	25.0325784899392	25.0325784899392	27.3929938734252	27.3929938734252	25.0325784899392	25.0325784899392	27.3929938734252	27.3929938734252	27.3929938734252	27.3929938734252	25	25	25	25	23.7047137834607	23.7047137834607	23.268215005319	23.268215005319	23.268215005319	23.268215005319	24.0763906786501	24.0763906786501	24.0763906786501	24.0763906786501	25.700007061013	25.700007061013
"TTOLT(1)"	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
"TTOLT(2)"	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
"TTOLT(3)"	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
"HMAX(1)"	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	8	8	8	8	8	8
"HMAX(2)"	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
"HMAX(3)"	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
"PRUNTARGET(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRUNTARGET(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRUNTARGET(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THINTARGET(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THINTARGET(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THINTARGET(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TREEDENS0(1)"	0.07	0.07	0.07	0.07	0	0	0	0	0	0	0.0325	0.0325	0.0325	0.0325	0.0325	0.0325	0	0	0	0	0	0	0	0	0	0	0.0333	0.0333	0.0333	0.0333	0.0333	0.0333
"TREEDENS0(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TREEDENS0(3)"	0	0	0	0	0.07	0.07	0.07	0.07	0.07	0.07	0.0325	0.0325	0.0325	0.0325	0.0325	0.0325	0	0	0	0	0.0666	0.0666	0.0666	0.0666	0.0666	0.0666	0.0333	0.0333	0.0333	0.0333	0.0333	0.0333
