""	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s31"	"s32"
"KEXTT"	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.7	0.7	0.7	0.7	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044
"KNMINT"	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.005	0.005	0.005	0.005	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975	0.00605742153774975
"KNUPTT"	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.002	0.002	0.002	0.002	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367	0.00141527832378367
"KRAININTT"	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
"NCPT"	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
"NCRT"	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.035	0.035	0.035	0.035	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437	0.0539008013518437
"NCWT"	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.01	0.01	0.01	0.01	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414	0.0127721454555414
"SHADEPROJ"	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
"SHADETARGET"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"TCPTHARV"	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
"TDIFFMAX"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
"TRANCOT"	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	2	2	2	2	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664	3.78525744790664
"WOODDENS"	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
"CLITT0"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"CNLITT0"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"CNSOMF0"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"CNSOMS0"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"CSOM0"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20
"FCSOMF0"	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.718503341222966	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006	0.293554752464006
"NMIN0"	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
"FLITTSOMF"	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394	0.760120543369394
"FSOMFSOMS"	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565	0.019687129946565
"FWCAD"	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
"FWCFC"	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329	0.655777025863329
"FWCWET"	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
"FWCWP"	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871	0.468598874515871
"KNEMIT"	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558	0.000392174119889558
"KRUNOFF"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"RNLEACH"	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.946954881378561	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518	0.213675270375518
"ROOTD"	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747	0.703073267961747
"RRUNBULK"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"SLOPE"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
"TCLITT"	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	305.674187590363	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274	949.741244988274
"TCSOMF"	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	3031.71683699807	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227	8998.29491404227
"TCSOMS"	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	41171.4712144333	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836	88979.8456448836
"WCST"	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161	0.683704859480161
"CO2A"	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
"LAT"	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	9.89	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9	11.9
"IOMULT"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"NFERTMULT"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"RAINMULT"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"TPLUS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FSINKPMAX0"	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875	0.108150524306875
"KSINKPMAX"	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275	0.760854826241275
"CBtree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CBtree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CBtree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CLtree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CLtree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CLtree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CRtree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CRtree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CRtree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CStree0(1)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CStree0(2)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"CStree0(3)"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"FHARVBT(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"FHARVBT(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"FHARVBT(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"FHARVLT(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHARVLT(2)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHARVLT(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLTMAX(1)"	0.360715563651635	0.360715563651635	0.360715563651635	0.360715563651635	0.3	0.3	0.3	0.3	0.3	0.3	0.360715563651635	0.360715563651635	0.360715563651635	0.360715563651635	0.360715563651635	0.360715563651635	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.429490626834524	0.429490626834524	0.429490626834524	0.429490626834524	0.429490626834524	0.429490626834524
"FLTMAX(2)"	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
"FLTMAX(3)"	0.3	0.3	0.3	0.3	0.261429787123462	0.261429787123462	0.261429787123462	0.261429787123462	0.396933793065037	0.396933793065037	0.261429787123462	0.261429787123462	0.396933793065037	0.396933793065037	0.396933793065037	0.396933793065037	0.3	0.3	0.3	0.3	0.301793668435587	0.301793668435587	0.37169813376008	0.37169813376008	0.37169813376008	0.37169813376008	0.304800665867865	0.304800665867865	0.304800665867865	0.304800665867865	0.272100186618669	0.272100186618669
"FPT(1)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FPT(2)"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"FPT(3)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FST(1)"	0.550420847819284	0.550420847819284	0.550420847819284	0.550420847819284	0.4	0.4	0.4	0.4	0.4	0.4	0.550420847819284	0.550420847819284	0.550420847819284	0.550420847819284	0.550420847819284	0.550420847819284	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.419873873416903	0.419873873416903	0.419873873416903	0.419873873416903	0.419873873416903	0.419873873416903
"FST(2)"	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
"FST(3)"	0.4	0.4	0.4	0.4	0.27609625234166	0.27609625234166	0.27609625234166	0.27609625234166	0.367960710946511	0.367960710946511	0.27609625234166	0.27609625234166	0.367960710946511	0.367960710946511	0.367960710946511	0.367960710946511	0.4	0.4	0.4	0.4	0.37112334978551	0.37112334978551	0.39646163447483	0.39646163447483	0.39646163447483	0.39646163447483	0.382085706228682	0.382085706228682	0.382085706228682	0.382085706228682	0.506291475037982	0.506291475037982
"FTCLMINT(1)"	0.176863332444788	0.176863332444788	0.176863332444788	0.176863332444788	0.2	0.2	0.2	0.2	0.2	0.2	0.176863332444788	0.176863332444788	0.176863332444788	0.176863332444788	0.176863332444788	0.176863332444788	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.290064577181784	0.290064577181784	0.290064577181784	0.290064577181784	0.290064577181784	0.290064577181784
"FTCLMINT(2)"	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
"FTCLMINT(3)"	0.2	0.2	0.2	0.2	0.23358277353585	0.23358277353585	0.23358277353585	0.23358277353585	0.22927752091622	0.22927752091622	0.23358277353585	0.23358277353585	0.22927752091622	0.22927752091622	0.22927752091622	0.22927752091622	0.2	0.2	0.2	0.2	0.225486961080507	0.225486961080507	0.186599844839742	0.186599844839742	0.186599844839742	0.186599844839742	0.173781888155115	0.173781888155115	0.173781888155115	0.173781888155115	0.261718021701994	0.261718021701994
"FWT(1)"	0.829753211351073	0.829753211351073	0.829753211351073	0.829753211351073	0.7	0.7	0.7	0.7	0.7	0.7	0.829753211351073	0.829753211351073	0.829753211351073	0.829753211351073	0.829753211351073	0.829753211351073	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.650579225645738	0.650579225645738	0.650579225645738	0.650579225645738	0.650579225645738	0.650579225645738
"FWT(2)"	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
"FWT(3)"	0.7	0.7	0.7	0.7	0.537161682064807	0.537161682064807	0.537161682064807	0.537161682064807	0.761055160589628	0.761055160589628	0.537161682064807	0.537161682064807	0.761055160589628	0.761055160589628	0.761055160589628	0.761055160589628	0.7	0.7	0.7	0.7	0.612766544949109	0.612766544949109	0.806277430168056	0.806277430168056	0.806277430168056	0.806277430168056	0.614433526044742	0.614433526044742	0.614433526044742	0.614433526044742	0.584624939738992	0.584624939738992
"KAC(1)"	9.07557833259279	9.07557833259279	9.07557833259279	9.07557833259279	6	6	6	6	6	6	9.07557833259279	9.07557833259279	9.07557833259279	9.07557833259279	9.07557833259279	9.07557833259279	6	6	6	6	6	6	6	6	6	6	6.04050570917738	6.04050570917738	6.04050570917738	6.04050570917738	6.04050570917738	6.04050570917738
"KAC(2)"	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"KAC(3)"	6	6	6	6	6.7225480302767	6.7225480302767	6.7225480302767	6.7225480302767	6.73903442770212	6.73903442770212	6.7225480302767	6.7225480302767	6.73903442770212	6.73903442770212	6.73903442770212	6.73903442770212	6	6	6	6	7.99109206139228	7.99109206139228	5.13547777657995	5.13547777657995	5.13547777657995	5.13547777657995	5.93010878738616	5.93010878738616	5.93010878738616	5.93010878738616	4.57421874218552	4.57421874218552
"KACEXP(1)"	0.601816708164562	0.601816708164562	0.601816708164562	0.601816708164562	0.6	0.6	0.6	0.6	0.6	0.6	0.601816708164562	0.601816708164562	0.601816708164562	0.601816708164562	0.601816708164562	0.601816708164562	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.532619902316331	0.532619902316331	0.532619902316331	0.532619902316331	0.532619902316331	0.532619902316331
"KACEXP(2)"	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
"KACEXP(3)"	0.6	0.6	0.6	0.6	0.720488014903421	0.720488014903421	0.720488014903421	0.720488014903421	0.789939959704615	0.789939959704615	0.720488014903421	0.720488014903421	0.789939959704615	0.789939959704615	0.789939959704615	0.789939959704615	0.6	0.6	0.6	0.6	0.619745860146979	0.619745860146979	0.619528524837881	0.619528524837881	0.619528524837881	0.619528524837881	0.690345520290127	0.690345520290127	0.690345520290127	0.690345520290127	0.632228964563326	0.632228964563326
"KH(1)"	3.65289064694774	3.65289064694774	3.65289064694774	3.65289064694774	4	4	4	4	4	4	3.65289064694774	3.65289064694774	3.65289064694774	3.65289064694774	3.65289064694774	3.65289064694774	4	4	4	4	4	4	4	4	4	4	5.20599383921795	5.20599383921795	5.20599383921795	5.20599383921795	5.20599383921795	5.20599383921795
"KH(2)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
